URL_ID,URL,Number of Sentences,Number of positive words,Number of Negative words,Number of words before cleaning,Number of words after cleaning,Average_word_length,Average sentence length,Subjectivity score,Syllable Count,Personal Pronoun,
109,111,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,51,4,23,1584,1015,31.05882353,19.90196078,0.026601985,3333,4
110,112,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,72,33,19,1648,1009,22.88888889,14.01388889,0.051537174,3322,19
111,113,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,63,8,18,1340,767,21.26984127,12.17460317,0.033899305,2660,31
112,114,https://insights.blackcoffer.com/continued-demand-for-sustainability/,27,10,14,654,415,24.22222222,15.37037037,0.057832325,1476,6
113,115,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,11,3,4,308,186,28,16.90909091,0.037635409,654,4
114,116,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,16,3,0,315,177,19.6875,11.0625,0.016950153,553,6
115,117,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,15,0,12,379,184,25.26666667,12.26666667,0.065218391,695,8
116,118,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,10,0,3,220,131,22,13.1,0.022901763,413,8
117,119,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,16,2,7,241,130,15.0625,8.125,0.069231769,506,11
118,120,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,14,0,0,154,104,11,7.428571429,1.00E-06,294,3
119,121,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,49,4,37,931,545,19,11.12244898,0.075230358,1722,8
120,122,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,17,1,8,451,255,26.52941176,15,0.035295118,831,6
121,123,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,83,12,43,1786,1026,21.51807229,12.36144578,0.053607238,3536,15
122,124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,33,3,7,596,331,18.06060606,10.03030303,0.03021248,1158,8
123,125,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,55,12,14,1103,655,20.05454545,11.90909091,0.039695656,2162,6
124,126,https://insights.blackcoffer.com/blockchain-in-fintech/,34,4,8,717,394,21.08823529,11.58823529,0.030457853,1382,15
125,127,https://insights.blackcoffer.com/blockchain-for-payments/,54,8,15,873,522,16.16666667,9.666666667,0.044062303,1758,19
126,128,https://insights.blackcoffer.com/the-future-of-investing/,54,15,7,1081,646,20.01851852,11.96296296,0.034056728,2185,14
127,129,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,73,9,29,1111,659,15.21917808,9.02739726,0.057664126,2212,10
128,130,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,26,15,3,555,329,21.34615385,12.65384615,0.054712246,1177,3
129,131,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,65,14,37,1022,584,15.72307692,8.984615385,0.087329767,2007,20
130,132,https://insights.blackcoffer.com/obstacles-to-data-driven-healthcare/,37,14,20,995,591,26.89189189,15.97297297,0.057530611,1960,21
131,133,https://insights.blackcoffer.com/monetization-of-data-innovate-to-harvest-the-full-value-of-data/,43,14,4,773,472,17.97674419,10.97674419,0.038136593,1669,15
132,134,https://insights.blackcoffer.com/traceability-of-information-master-your-data-capital/,48,7,13,889,540,18.52083333,11.25,0.037038037,2016,17
133,135,https://insights.blackcoffer.com/bank-risk-management-india/,48,8,17,811,476,16.89583333,9.916666667,0.052522008,1431,16
134,136,https://insights.blackcoffer.com/advance-analytics-for-refocusing-profits/,72,30,21,1237,760,17.18055556,10.55555556,0.067106263,2622,11
135,137,https://insights.blackcoffer.com/role-of-big-data-analytics-banking-and-finance/,43,5,10,758,462,17.62790698,10.74418605,0.032468532,1501,4
136,138,https://insights.blackcoffer.com/mitigating-bank-risk-management/,19,4,5,374,221,19.68421053,11.63157895,0.040724982,715,6
137,139,https://insights.blackcoffer.com/future-of-bank-risk-management/,36,10,20,774,425,21.5,11.80555556,0.070589235,1465,19
138,140,https://insights.blackcoffer.com/advanced-analytics-redefining-banking/,56,19,11,1568,904,28,16.14285714,0.033186841,3076,43
139,141,https://insights.blackcoffer.com/marketing-analytics-needs/,65,22,4,1410,811,21.69230769,12.47692308,0.032060186,2877,47
140,142,https://insights.blackcoffer.com/big-data-analytics-to-bring-transparency-and-good-governance/,35,24,8,812,478,23.2,13.65714286,0.066946607,1686,14
141,143,https://insights.blackcoffer.com/how-political-leaders-will-shape-tomorrow-using-big-data-analytics/,39,23,10,1207,670,30.94871795,17.17948718,0.049254731,2460,20
142,144,https://insights.blackcoffer.com/big-data-and-analytics-to-help-form-political-leaders-win-election/,54,11,22,954,541,17.66666667,10.01851852,0.060999152,1966,21
143,145,https://insights.blackcoffer.com/the-emergence-of-data-analytics/,32,3,3,531,338,16.59375,10.5625,0.017752479,1107,5
144,146,https://insights.blackcoffer.com/how-artificial-intelligence-can-deliver-real-value-to-companies-2/,75,23,14,1464,836,19.52,11.14666667,0.044259373,2967,33
145,147,https://insights.blackcoffer.com/the-prospective-recipe-of-success-in-the-age-of-analytics/,66,13,14,1227,660,18.59090909,10,0.040910091,2331,19
146,148,https://insights.blackcoffer.com/using-people-analytics-to-drive-business-performance/,31,9,4,661,347,21.32258065,11.19354839,0.037464977,1261,23
147,149,https://insights.blackcoffer.com/how-artificial-intelligence-can-deliver-real-value-to-companies/,61,15,24,1163,673,19.06557377,11.03278689,0.05795048,2353,14
148,150,https://insights.blackcoffer.com/big-data-analytics-through-iot-in-oil-and-gas-industry/,76,19,24,1428,864,18.78947368,11.36842105,0.049769519,3057,10
149,151,https://insights.blackcoffer.com/how-big-data-and-analytics-is-helping-marketing-leaders/,41,12,3,734,416,17.90243902,10.14634146,0.036058692,1454,17
150,152,https://insights.blackcoffer.com/what-analytics-outsourcing-engagement-model-is-right-for-you/,22,14,2,458,257,20.81818182,11.68181818,0.062257809,931,16
151,153,https://insights.blackcoffer.com/big-data-analytics-solving-problems-banking-and-finance-industry/,52,11,10,932,524,17.92307692,10.07692308,0.040077336,1838,17
152,154,https://insights.blackcoffer.com/analytics-healthcare-industry/,35,11,11,663,394,18.94285714,11.25714286,0.055838563,1466,5
153,155,https://insights.blackcoffer.com/business-analytics-textile-industry/,25,11,2,816,448,32.64,17.92,0.029018857,1621,9
154,156,https://insights.blackcoffer.com/big-data-marketing-reality/,44,20,5,954,555,21.68181818,12.61363636,0.045046045,1906,31
155,157,https://insights.blackcoffer.com/understanding-millennial-market/,24,6,4,551,334,22.95833333,13.91666667,0.02994112,1136,8
156,158,https://insights.blackcoffer.com/analytics-helping-fashion-e-tailers-develop-markets-developing-countries/,35,7,3,692,400,19.77142857,11.42857143,0.025001,1371,12
157,159,https://insights.blackcoffer.com/big-data-analytics-change-healthcare-developing-countries/,23,23,7,579,350,25.17391304,15.2173913,0.085715286,1248,2
158,160,https://insights.blackcoffer.com/big-data-analytics-help-voters-know-political-leaders/,31,7,7,765,414,24.67741935,13.35483871,0.033817425,1437,15
159,161,https://insights.blackcoffer.com/digital-transformation-oil-gas/,27,7,11,653,394,24.18518519,14.59259259,0.045686279,1351,3
160,162,https://insights.blackcoffer.com/data-analytics-reduce-cost-production/,24,18,8,769,460,32.04166667,19.16666667,0.056522739,1478,17
161,163,https://insights.blackcoffer.com/gaining-insights-internal-data-retail/,25,16,3,553,351,22.12,14.04,0.054132054,1209,4
162,164,https://insights.blackcoffer.com/role-big-data-cyber-security/,28,11,20,697,460,24.89285714,16.42857143,0.067392304,1620,3
163,165,https://insights.blackcoffer.com/role-big-data-healthcare/,50,22,36,1053,652,21.06,13.04,0.088958055,2326,11
164,166,https://insights.blackcoffer.com/data-driven-dashboards/,39,2,1,778,447,19.94871795,11.46153846,0.006712409,1611,10
165,167,https://insights.blackcoffer.com/role-big-data-academia/,67,14,22,1467,847,21.89552239,12.64179104,0.042503952,2975,26
166,168,https://insights.blackcoffer.com/sales-forecasting-in-retail/,31,19,8,690,430,22.25806452,13.87096774,0.062791698,1472,9
167,169,https://insights.blackcoffer.com/detect-data-exfiltration-over-the-network/,57,3,36,930,583,16.31578947,10.22807018,0.066896369,2002,16
168,170,https://insights.blackcoffer.com/data-exfiltration/,28,4,4,470,259,16.78571429,9.25,0.030889031,895,17
169,171,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,11,3,3,288,156,26.18181818,14.18181818,0.038462538,533,5
